hs6,isic4
200110,1030
200190,1030
200210,1030
200290,1030
200310,1030
200390,1030
200410,1030
200490,1075
200510,1079
200520,1030
200540,1030
200551,1030
200559,1030
200560,1030
200570,1030
200580,1030
200591,1030
200599,1030
200600,1073
200710,1079
200791,1030
200799,1030
200811,1030
200819,1030
200820,1030
200830,1030
200840,1030
200850,1030
200860,1030
200870,1030
200880,1030
200891,1030
200893,1030
200897,1030
200899,1030
200911,1030
200912,1030
200919,1030
200921,1030
200929,1030
200931,1030
200939,1030
200941,1030
200949,1030
200950,1030
200961,1030
200969,1030
200971,1030
200979,1030
200981,1030
200989,1030
200990,1030
210111,1079
210112,1079
210120,1079
210130,1079
210210,1079
210220,1079
210230,1079
210310,1079
210320,1079
210330,1079
210390,1079
210410,1079
210420,1079
210500,1050
210610,1079
210690,1079
220110,1104
220190,3530
220210,1104
220290,1104
220300,1103
220410,1102
220421,1102
220429,1102
220430,1102
220510,1102
220590,1102
220600,1102
220710,2011
220720,2011
220820,1101
220830,1101
220840,1101
220850,1101
220860,1101
220870,1101
220890,1101
220900,1079
230110,1010
230120,1020
230210,n/a
230230,n/a
230240,n/a
230250,n/a
230310,n/a
230320,n/a
230330,n/a
230400,1040
230500,1040
230610,1040
230620,1040
230630,1040
230641,1040
230649,1040
230650,1040
230660,1040
230690,1040
230700,n/a
230800,n/a
230910,1080
230990,1080
240110,0115
240120,1200
240130,n/a
240210,1200
240220,1200
240290,1200
240311,1200
240319,1200
240391,1200
240399,1200
250100,0893
250200,0891
250300,2011
250410,0899
250490,0899
250510,0810
250590,0810
250610,0899
250620,0810
250700,0810
250810,0810
250830,0810
250840,0810
250850,0810
250860,0810
250870,0810
250900,0810
251010,0891
251020,0891
251110,0891
251120,0891
251200,0899
251310,0899
251320,0899
251400,0810
251511,0810
251512,0810
251520,0810
251611,0810
251612,0810
251620,0810
251690,0810
251710,0810
251720,0810
251730,2399
251741,0810
251749,0810
251810,0810
251820,2394
251830,2394
251910,0899
251990,0899
252010,0810
252020,2394
252100,0810
252210,2394
252220,2394
252230,2394
252310,2394
252321,2394
252329,2394
252330,2394
252390,2394
252410,0899
252490,0899
252510,0899
252520,0899
252530,n/a
252610,0899
252620,0899
252800,0891
252910,0899
252921,0891
252922,0891
252930,0899
253010,0899
253020,0891
253090,0891
260111,0710
260112,0710
260120,2011
260200,0729
260300,0729
260400,0729
260500,0729
260600,0729
260700,0729
260800,0729
260900,0729
261000,0729
261100,0729
261210,0721
261220,0721
261310,0729
261390,0729
261400,0729
261510,0729
261590,0729
261610,0729
261690,0729
261710,0729
261790,0729
261800,n/a
261900,n/a
262011,n/a
262019,n/a
262021,n/a
262029,n/a
262030,n/a
262040,n/a
262060,n/a
262091,n/a
262099,n/a
262110,n/a
262190,n/a
270111,0510
270112,0510
270119,0510
270120,1920
270210,0520
270220,1920
270300,0892
270400,1910
270500,3520
270600,1910
270710,2011
270720,2011
270730,2011
270740,2011
270750,2011
270791,2011
270799,2011
270810,2011
270820,2011
270900,0610
271012,1920
271019,1920
271020,1920
271091,n/a
271099,n/a
271111,0620
271112,1920
271113,1920
271114,1920
271119,1920
271121,0620
271129,1920
271210,1920
271220,1920
271290,1920
271311,1920
271312,1920
271320,1920
271390,1920
271410,0610
271490,0899
271500,2399
271600,3510
280110,2011
280120,2011
280130,2011
280200,2011
280300,2011
280410,2011
280421,2011
280429,2011
280430,2011
280440,2011
280450,2011
280461,2011
280469,2011
280470,2011
280480,2011
280490,2011
280511,2011
280512,2011
280519,2011
280530,2011
280540,2011
280610,2011
280620,2011
280700,2011
280800,2012
280910,2011
280920,2011
281000,2011
281111,2011
281119,2011
281121,2011
281122,2011
281129,2011
281210,2011
281290,2011
