kbli4,sektor,tk,upah_per_pekerja,ULC,energi_per_pekerja,nilai_output,X_kg,X_usd,Px,Pm
1812,Labor Intensive,6472.0,22367000.772558715,0.4489814686688216,3764764.6786155747,652677767.0,96709.0,1304373.0,13.48760715135096,11.585266590293624
1910,Resource Intensive,480.0,22165100.0,0.39803665765197066,11230352.083333334,64171047.0,57421041.0,4661519.0,0.08118137391483377,0.389187793890826
2011,Labor Intensive,64955.0,77915936.80240166,0.06697096782360176,266514984.14286813,190725846821.0,4987506611.0,4777710592.0,0.957935691045042,1.1078600718367553
2012,Labor Intensive,10629.0,44579086.27340295,0.03576854103419532,110596160.97469188,35687606323.0,2205830258.0,1018350298.0,0.4616630378999906,0.41036888294475454
2013,Labor Intensive,12015.0,32252604.244694132,0.0709432478389696,90947535.08114856,18653629196.0,636668657.0,933445312.0,1.4661398856956767,1.9897093879090586
2021,Labor Intensive,12600.0,48369426.82539683,0.14969853406644829,96998942.22222222,11918903372.0,71302673.0,249577486.0,3.500254275179838,5.045548233700648
2022,Labor Intensive,15358.0,52745627.29522073,0.16873795896588126,38104113.882015884,14929009793.0,50761097.0,126938396.0,2.500702378437566,2.5955030797502157
2023,Labor Intensive,45601.0,26445546.238021094,0.09265083174220579,36217825.46435385,45439295818.0,955167091.0,1380803933.0,1.445615061501318,3.8371957345815653
2029,Labor Intensive,20577.0,34611032.17184235,0.14040895340339216,32277480.876707003,12246542386.0,195971198.0,488679681.0,2.4936301149723032,3.4868358270101156
2030,Labor Intensive,3111.0,28494532.62616522,0.029630966859865455,11706355.834136933,8022076309.0,448986652.0,987587901.0,2.19959300928171,2.7310310009784238
2211,Resource Intensive,27848.0,153030202.95891985,0.520317448754151,144422327.27664465,54680882213.0,412471502.0,1752922380.0,4.249802402106316,4.89417344104085
2219,Resource Intensive,38952.0,24765738.72971863,0.3654681970023097,32455116.810433354,12216497580.0,180075690.0,807510108.0,4.484281626242832,6.639395359724195
2391,Capital Intensive,914.0,30358067.83369803,0.2829717931092873,20374416.849015318,253038720.0,6873298.0,4933870.0,0.7178315271649796,1.2261162801009606
2392,Capital Intensive,74128.0,25343672.350528814,0.09597478121562442,75136542.81782863,38879098693.0,282625681.0,106358767.0,0.37632378849535614,0.30569582012461793
2393,Capital Intensive,19139.0,20794096.5567689,0.3806831955056232,14633354.511729976,1876754191.0,54756848.0,289193655.0,5.281415303525141,2.1963266633504603
2394,Capital Intensive,22452.0,153094278.19347942,0.2594654328582989,156371032.69196507,23953754244.0,288344921.0,21402879.0,0.07422665509686574,0.0668034842538685
2395,Capital Intensive,33445.0,23056170.33936313,0.14304324559889212,27491416.564508896,15266011532.0,206180162.0,43696176.0,0.21193200924927005,0.2828976306764671
2396,Capital Intensive,14074.0,18996875.87039932,0.10845152963130962,79662638.05598977,6271346188.0,127781040.0,62562034.0,0.4896034184727249,0.2625396140698439
2399,Capital Intensive,4430.0,25867880.135440182,0.3969658554249835,29489600.902934536,701767684.0,27572109.0,46941699.0,1.7025066526467019,2.3039814268863767
2410,Capital Intensive,41885.0,74258399.11662887,0.11900345528046316,164434146.68735823,76051576258.0,662568509.0,1021003049.0,1.5409773255613632,0.8520774341946679
2420,Capital Intensive,14505.0,51688724.57773182,0.08347157933381896,66693079.696656324,36376342964.0,674818459.0,7797144570.0,11.554432849324295,2.512931355044211
