tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2006,Rev3,15139,151,15,11,0,0,58505085,33830039,24675046,0,0,0,0,3581573,1,0,0,,,,,,,0.0612
2007,Rev3,15139,151,15,13,1519,9314790,88546234,48473432,40072802,36038399,1817160,38234496,1343555,0,0,3,0,0.2324,6132186,26381041,23725082,1196287,0.0351,0.0
2009,Rev3,15139,151,15,15,2672,17976638,186319523,142260013,44059510,3709259,1679719,137515855,864786,15547671,5,2,1,0.408,6727784,16489338,1388196,628637,0.0063,0.0834
2010,Rev3,15139,151,15,17,2696,22322175,140484213,32470143,108014070,12266796,1209426,28293747,574444,24298911,5,2,1,0.2067,8279739,40064566,4549999,448600,0.0203,0.173
2006,Rev3,15141,151,15,351,0,0,63998456723,45684152435,18314304288,0,0,0,0,10500553957,84,0,0,,,,,,,0.1641
2007,Rev3,15141,151,15,351,116185,1704501174,94255054299,71352400833,22902653466,8997868113,1721107492,65831197321,33591760,5498435475,34,145,63,0.0744,14670579,197122292,77444318,14813509,0.0005,0.0583
2009,Rev3,15141,151,15,430,107654,2615349447,152762869804,111216279458,41546590346,366012945366,2330539416,104797647721,786523935,21976176537,98,138,72,0.0629,24294029,385927047,3399901029,21648424,0.0075,0.1439
2010,Rev3,15141,151,15,444,115269,3523971995,167551422060,107545878104,60005543956,4429742242,1768898451,103138443130,652531165,18488087380,70,119,82,0.0587,30571723,520569658,38429606,15345830,0.0063,0.1103
2006,Rev3,15142,151,15,3,0,0,1144879854,920596396,224283458,0,0,0,0,415788891,3,0,0,,,,,,,0.3632
2007,Rev3,15142,151,15,3,2297,119450056,1676285360,1194134107,482151253,2581439,35571670,1104192113,206593952,76222000,1,1,1,0.2477,52002636,209904768,1123831,15486143,0.1871,0.0455
2009,Rev3,15142,151,15,1,381,17408576,617983554,417525819,200457735,28423960,7083463,333565468,9614920,0,0,1,1,0.0868,45691801,526135787,74603570,18591766,0.0288,0.0
2010,Rev3,15142,151,15,1,381,19219068,685416401,463409370,222007031,28423960,7861893,370222286,10671541,0,0,1,1,0.0866,50443748,582695619,74603570,20634890,0.0288,0.0
2006,Rev3,15143,151,15,45,0,0,3286029093,1791967412,1494061681,0,0,0,0,1013225323,5,0,0,,,,,,,0.3083
2007,Rev3,15143,151,15,45,5880,78174396,6195920792,4103516604,2092404188,28550267,140170915,3653978794,19486604,15354192,1,6,0,0.0374,13294965,355851052,4855488,23838591,0.0053,0.0025
2009,Rev3,15143,151,15,26,2239,35898651,3936018601,2930759853,1005258748,27462324,97843082,2801654783,776879,2197352405,5,6,0,0.0357,16033341,448976663,12265442,43699456,0.0003,0.5583
2010,Rev3,15143,151,15,22,2084,48271587,3861156295,711042712,3150113583,62290266,27156054,627114233,0,1692777044,6,7,0,0.0153,23162950,1511570817,29889763,13030736,0.0,0.4384
2006,Rev3,15144,151,15,40,0,0,38479151971,26905729960,11573422011,0,0,0,0,19845919571,20,0,0,,,,,,,0.5158
2007,Rev3,15144,151,15,41,8509,279319757,49611210125,30523171599,19088038526,491587644,509581496,29379329854,8279332,168130738,4,12,7,0.0146,32826391,2243276358,57772669,59887354,0.0003,0.0034
2009,Rev3,15144,151,15,48,16703,519492330,65788364117,46337843475,19450520642,847235048,1016836541,43434396674,61993309,13309635470,16,17,7,0.0267,31101738,1164492645,50723526,60877480,0.0014,0.2023
2010,Rev3,15144,151,15,52,16543,719596073,53220995869,35535665651,17685330217,1554266820,580288369,32665867548,110182807,15368667860,15,15,9,0.0407,43498523,1069052180,93953142,35077578,0.0034,0.2888
2006,Rev3,15145,151,15,2,0,0,5128770,2944370,2184400,0,0,0,0,4500000,1,0,0,,,,,,,0.8774
2007,Rev3,15145,151,15,3,238,2216912,643906054,260495393,383410661,170150,134253754,28667898,0,0,0,1,0,0.0058,9314756,1610969164,714916,564091403,0.0,0.0
2009,Rev3,15145,151,15,2,99,631101,7188934,6307537,881397,0,344193,5899252,0,0,0,0,0,0.716,6374758,8903000,0,3476697,0.0,0.0
2010,Rev3,15145,151,15,2,110,1141453,1694153,430385,1263768,0,19737,373725,0,0,0,0,0,0.9032,10376845,11488800,0,179427,0.0,0.0
2006,Rev3,15149,151,15,2,0,0,143352105,69851201,73500904,0,0,0,0,0,0,0,0,,,,,,,0.0
2007,Rev3,15149,151,15,9,3097,52319241,1407743118,958634541,449108577,7993501,26964321,839327096,3130716,10595767,1,4,2,0.1165,16893523,145014071,2581046,8706594,0.0037,0.0075
2009,Rev3,15149,151,15,2,146,7824612,15933125,7100978,8832147,0,3633467,701998,0,15927900,1,0,0,0.8859,53593233,60494158,0,24886760,0.0,0.9997
2010,Rev3,15149,151,15,2,127,7930329,24319453,16052890,8266563,0,1173950,13921194,0,2965963,1,0,0,0.9593,62443535,65091047,0,9243701,0.0,0.122
2010,Rev3,15201,152,15,1,298,5247800,94741689,74651000,20090689,1473751,6613648,60802210,60757010,8153979,1,1,1,0.2612,17610067,67418419,4945473,22193450,0.9993,0.0861
2010,Rev3,15203,152,15,2,1121,35483013,38650587,11764523,26886064,0,72864,11435531,48440,0,0,0,0,1.3198,31653000,23984000,0,64999,0.0042,0.0
2006,Rev3,15211,152,15,31,0,0,8012398984,5753561075,2258837909,0,0,0,0,44588515,3,0,0,,,,,,,0.0056
2007,Rev3,15211,152,15,29,7943,240628895,9830602989,7371869975,2458733014,220094021,89863191,6667857181,3419155242,286137012,2,17,4,0.0979,30294460,309547150,27709181,11313508,0.5128,0.0291
2009,Rev3,15211,152,15,29,9248,321168969,23308333558,20276404828,3031928730,374451919,172599923,18419844912,5001987240,1020118974,4,10,6,0.1059,34728478,327846965,40490043,18663486,0.2716,0.0438
2010,Rev3,15211,152,15,25,9695,330990890,9263627421,6613340561,2650286860,740928540,115276966,5097393018,2952328503,297089466,4,10,7,0.1249,34140370,273366360,76423779,11890352,0.5792,0.0321
2006,Rev3,15212,152,15,6,0,0,228150210,84920053,143230157,0,0,0,0,0,0,0,0,,,,,,,0.0
