hs6,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,isic3,isic4,bec1,intermediate
060290,4574663.0,301469.0,15.174572,142438.09,0112,0113|0119|0125|0128|0129|0130|0230,2,1
060314,228800.0,8000.0,28.6,268457.62,0112,0113|0119|0125|0128|0129|0130|0230,6,0
060319,3939.0,604.0,6.521523,61215.13,0112,0113|0119|0125|0128|0129|0130|0230,6,0
060390,91742.0,7254.0,12.647091,118713.57,0112,0113|0119|0125|0128|0129|0130|0230,6,0
060410,270210.0,83536.0,3.234653,30362.49,0200,0129|0130|0210|0220|0230|0240,6,0
060491,35497.0,16800.0,2.112917,19833.17,0200,0129|0130|0210|0220|0230|0240,6,0
060499,29366.0,7944.0,3.696626,34698.86,0200,0129|0130|0210|0220|0230|0240,6,0
070110,2152145.0,1862450.0,1.155545,10846.67,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
070190,28667627.0,46587879.0,0.615345,5776.02,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
070200,196041.0,110503.0,1.774079,16652.62,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070310,67232449.0,155361490.0,0.432748,4062.05,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070320,242342239.0,414957761.0,0.584017,5481.95,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070390,441330.0,446705.0,0.987967,9273.68,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070410,1207659.0,945321.0,1.277512,11991.53,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070420,468.0,147.0,3.183673,29883.96,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070490,1852583.0,2195869.0,0.843667,7919.19,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070511,173931.0,117535.0,1.479823,13890.55,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070519,64321.0,44867.0,1.433593,13456.6,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070610,30707766.0,55483969.0,0.553453,5195.06,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070690,5377.0,3310.0,1.624471,15248.31,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070700,11803.0,3063.0,3.853412,36170.55,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070810,3332163.0,6540147.0,0.509494,4782.43,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070820,195244.0,196590.0,0.993153,9322.36,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070890,732517.0,658380.0,1.112605,10443.61,0112,0113|0119|0125|0128|0129|0130|0230,1,0
070920,1963.0,1443.0,1.36036,12769.2,0112,0113|0119|0125|0128|0129|0130|0230,1,0
