grup,sektor,n_kbli,n_perusahaan,tk,upah_per_pekerja,ULC,produktivitas,energi_per_pekerja,X_usd,X_kg,Px,Pm,nilai_output
170,Resource Intensive,9,463,125333.0,31795813.616525576,0.07381036345543136,430777090.47896403,73197354.14455889,5540418561.0,7424610106.0,0.7462235029045713,1.1819931296699975,134540935513.0
181,Labor Intensive,3,524,51839.0,27681377.534288857,0.2153800844381529,128523385.09616312,24270113.138756536,5113191.0,1110409.0,4.604781661531922,10.861185519875209,17221725477.0
191,Resource Intensive,1,7,480.0,22165100.0,0.39803665765197066,55686077.083333336,11230352.083333334,4661519.0,57421041.0,0.08118137391483377,0.389187793890826,64171047.0
192,Resource Intensive,6,63,5885.0,26047501.614273578,0.0955973001950465,272471100.7646559,38025473.23704333,5551815143.0,7090219870.0,0.783024397662297,1.0015975275090385,5984266730.0
201,Labor Intensive,15,446,87599.0,67607801.72148083,0.0628169017308647,1076267690.0421238,223515588.3514652,6729506202.0,7830005526.0,0.8594510156671376,0.9878746703374947,245067082340.0
202,Labor Intensive,15,456,94136.0,35455688.418883316,0.12379930926260241,286396496.3138438,43799741.182969324,2245999496.0,1273202059.0,1.764055815118659,3.455865585595573,84533751369.0
203,Labor Intensive,2,9,3111.0,28494532.62616522,0.029630966859865455,961647075.5384121,11706355.834136933,987587901.0,448986652.0,2.19959300928171,2.7310310009784238,8022076309.0
210,Labor Intensive,4,246,63529.0,55536571.36111067,0.26980905700805224,205836571.89629933,13434470.61971698,1107396215.0,397072155.0,2.7889042358057066,4.859911023290081,29598076299.0
221,Resource Intensive,8,468,173662.0,46459018.24233281,0.21458335518213748,216508024.13308612,64727895.37722703,2560432488.0,592547192.0,4.321060875097355,5.7008416647973785,170754693293.0
222,Resource Intensive,7,1135,179962.0,29603483.90771385,0.26867607379392194,110182806.71475089,21393927.106833667,1381771993.0,458448522.0,3.014017772315994,2.9551557490030054,63600739776.0
231,Capital Intensive,7,64,23884.0,60801180.95796349,0.5743559431911487,105859757.66203316,42245300.787137836,415061861.0,721654715.0,0.5751529815751291,0.9994408647365666,7511414435.0
239,Capital Intensive,25,1560,168582.0,40898460.82618548,0.1637301907899854,249791810.71526024,68515709.79108089,575089080.0,994134059.0,0.5784824237673563,0.23627558542482494,87201771252.0
241,Capital Intensive,3,136,41885.0,74258399.11662887,0.11900345528046316,624002042.1391907,164434146.68735823,1021003049.0,662568509.0,1.5409773255613632,0.8520774341946679,76051576258.0
242,Capital Intensive,5,98,14505.0,51688724.57773182,0.08347157933381896,619237409.7897277,66693079.696656324,7797144570.0,674818459.0,11.554432849324295,2.512931355044211,36376342964.0
243,Capital Intensive,2,40,4040.0,36107583.910891086,0.052724661811001786,684832916.3366337,329105704.4554455,711327418.0,394385726.0,1.8036337805998588,2.0717634255230104,6851763317.0
251,Capital Intensive,6,261,42379.0,29815987.35222634,0.06524611338698401,456977217.56058425,102568174.40241629,617633281.0,210469993.0,2.934543172622237,3.6501734807640585,51927755802.0
259,Capital Intensive,15,676,117061.0,33284527.20376556,0.18051297331961644,184388559.95592043,34482653.138107486,1133710491.0,317060149.0,3.5756953201961688,4.1424110909091185,63867147887.0
261,Capital Intensive,2,179,102687.0,32306235.015143104,0.20841609546102716,155008349.73268282,11553328.142802887,1867932697.0,77792845.0,24.011625966372613,49.396553826624164,27028765112.0
262,Capital Intensive,2,10,3689.0,25293280.021686092,0.19665437778828485,128617935.2127948,844369.4768229873,2196703529.0,93386310.0,23.52275755407832,37.40696117675062,503222389.0
263,Capital Intensive,2,13,1052.0,41178198.66920152,0.07996016022567531,514983943.9163498,108821998.09885931,1338963898.0,26424060.0,50.67214871598082,47.25477673941002,1562466645.0
264,Capital Intensive,2,53,36179.0,19828649.382238314,0.08218109420216403,241279938.83191907,5523386.937173499,2882520948.0,119416984.0,24.13828294306947,11.980233901863741,14894068149.0
265,Capital Intensive,4,26,2852.0,24104232.468443196,0.29923616445075496,80552537.86816269,4150350.280504909,422965335.0,10708838.0,39.496846903464224,15.674028389901638,396901111.0
266,Capital Intensive,1,9,1049.0,29552416.58722593,0.22018873061023514,134214028.5986654,2792477.5977121065,168830534.0,5156797.0,32.73941828619587,155.74371133831784,180369813.0
267,Capital Intensive,3,8,3300.0,37910460.0,0.19573565641064616,193681931.5151515,14689355.454545455,194714609.0,2336539.0,83.33462826856304,40.02417647086247,1097989222.0
268,Capital Intensive,1,10,1537.0,11926050.097592713,0.13201168007373043,90340870.52700065,2516450.2277163304,14640957.0,2899155.0,5.0500773501244325,6.978899357140292,178391410.0
271,Capital Intensive,4,72,27900.0,72034334.1218638,0.24514320602445897,293845933.1182796,272246635.12544805,1789792933.0,74785311.0,23.93241278357457,11.981877767569936,26594195589.0
272,Capital Intensive,2,26,15315.0,70850223.11459354,0.14499899743377548,488625606.8560235,56207661.9653934,746363911.0,162761438.0,4.585631094018719,6.979622554791507,14444081131.0
273,Capital Intensive,3,90,28472.0,157656259.51812306,0.509911102719489,309183813.95757234,40580825.23180669,1073851676.0,86293313.0,12.444204987239278,6.953818997064449,27996283477.0
274,Capital Intensive,4,37,20118.0,42145970.6233224,0.06903957887974954,610461003.7777115,280277513.0728701,412859363.0,37205497.0,11.096730222418477,10.261489724643779,22310935077.0
275,Capital Intensive,3,71,20191.0,27818999.108513694,0.06955151737603411,399976882.72002375,34987278.44088951,682592133.0,117220146.0,5.82316398923441,4.558308754153573,15931685919.0
279,Capital Intensive,1,10,2815.0,117203741.38543516,0.09185308665032266,1275991321.1367674,5576745.293072824,70989977.0,6316211.0,11.23932956007961,13.012209322755682,4046294196.0
281,Capital Intensive,15,216,44057.0,35740699.59370815,0.11253937725559206,317583946.7508001,55827306.784392945,2034316466.0,188514448.0,10.79130266980916,8.419415344739633,26744627149.0
282,Capital Intensive,12,125,12826.0,32857203.804771557,0.07780014709934557,422328299.23592705,25347918.758771244,1068049550.0,219020513.0,4.876481820677682,6.006781352325713,11380144211.0
291,Capital Intensive,1,16,39555.0,88595540.8165845,0.051616385850717955,1716422786.2217166,13618247.93325749,2551366460.0,258450706.0,9.87177206627557,10.39315334658739,99009012569.0
292,Capital Intensive,1,87,10355.0,18922082.95509416,0.11525952499285859,164169364.36504105,6299550.941574119,30988849.0,8260043.0,3.7516571039642286,6.649074407874582,3126779508.0
293,Capital Intensive,1,204,68733.0,42108738.18980693,0.05405235576886375,779036132.4836687,45482142.50796561,1883999007.0,228224631.0,8.255020497765642,10.44001692545699,94085558013.0
301,Capital Intensive,3,75,12678.0,28327926.329073988,0.05026272340088593,563597123.5210601,54040219.43524215,818577342.0,164656396.0,4.971427541751855,1.3987204506526822,14626828327.0
309,Capital Intensive,4,198,61879.0,29109826.096090756,0.03971939822898808,732886886.3588617,34053584.26929976,795607862.0,81485297.0,9.763821097688336,3.6520557744275766,89180144354.0
310,Labor Intensive,5,1419,190127.0,26539156.079883445,0.6261824925005713,42382462.61709279,4409985.27300173,1695093225.0,594415398.0,2.8516980392893525,2.807623534778303,22569485544.0
321,Labor Intensive,5,76,11703.0,30030678.971203964,0.2078964390302943,144450184.4826113,3614063.573442707,178956812.0,4589592.0,38.991878145159745,8.143894228413917,3150612259.0
322,Labor Intensive,2,34,14874.0,27572213.728654027,0.6803421126118665,40526983.729998656,2449775.850477343,543654776.0,52100028.0,10.434826944814693,10.645993880286104,1323183422.0
323,Labor Intensive,1,83,7857.0,22440147.002672777,0.3479783988264022,64487183.91243477,3671457.2992236223,189115861.0,8009859.0,23.610385775829513,3.9756064869049212,1007096351.0
324,Labor Intensive,2,120,31369.0,16003446.204851924,0.36876586882203777,43397308.584908664,1647367.528451656,352801485.0,31359344.0,11.250282690862411,2.7876314482112465,2747213030.0
325,Labor Intensive,4,19,6739.0,21914979.81896424,0.18087955548487678,121157859.77147944,13416650.690013355,106336543.0,6999154.0,15.192770869165045,13.910057021344702,1072918332.0
329,Labor Intensive,5,317,85396.0,23794815.202117193,0.523032486754073,45493952.679282404,2128502.4005808234,564495669.0,59677498.0,9.459104150110315,5.452226286488026,7200122583.0
