isic4,divisi,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,cif_usd_intermediate,Pm_intermed_usd_per_kg,Pm_intermed_rp_per_kg,manufaktur
2012,20,2841039067.0,6899801375.0,0.411757,3865.01,2841039067.0,0.411757,3865.01,1
2021,20,292961983.0,58063459.0,5.045548,47360.69,292961983.0,5.045548,47360.69,1
2022,20,566834943.0,218279245.0,2.596834,24375.52,562902582.0,2.596909,24376.23,1
2023,20,826183841.0,217188972.0,3.803986,35706.61,54121881.0,2.474038,23222.88,1
2029,20,220070967.13,57384524.731,3.835023,35997.94,187452818.17,4.006871,37611.02,1
2030,20,100401.0,4403.0,22.802862,214042.03,100401.0,22.802862,214042.03,1
2100,21,587068596.33,130854157.0,4.486434,42112.5,374566033.33,5.459162,51243.14,1
2219,22,314668.46,115083.231,2.734269,25665.57,0,,,1
2220,22,361399.29,115233.897,3.136224,29438.57,0,,,1
2394,23,66931662.0,777494887.0,0.086086,808.06,66931662.0,0.086086,808.06,1
2399,23,9048896.25,8249728.0,1.096872,10295.93,9048896.25,1.096872,10295.93,1
2420,24,201749830.33,518482070.0,0.389116,3652.49,201749830.33,0.389116,3652.49,1
2599,25,314668.46,115083.231,2.734269,25665.57,0,,,1
2610,26,219803029.5,57269592.167,3.838041,36026.27,187452818.17,4.006871,37611.02,1
2680,26,219756298.67,57269441.5,3.837235,36018.7,187452818.17,4.006871,37611.02,1
2733,27,46730.83,150.667,310.160398,2911360.9,0,,,1
2817,28,219756298.67,57269441.5,3.837235,36018.7,187452818.17,4.006871,37611.02,1
2829,28,314668.46,115083.231,2.734269,25665.57,0,,,1
3092,30,314668.46,115083.231,2.734269,25665.57,0,,,1
3212,32,314668.46,115083.231,2.734269,25665.57,0,,,1
3250,32,585116447.0,130846314.0,4.471784,41974.98,372613884.0,5.431331,50981.9,1
3290,32,9410295.54,8364961.897,1.124966,10559.64,9048896.25,1.096872,10295.93,1
3312,33,314668.46,115083.231,2.734269,25665.57,0,,,1
3314,33,46730.83,150.667,310.160398,2911360.9,0,,,1
3319,33,9095627.08,8249878.667,1.102516,10348.91,9048896.25,1.096872,10295.93,1
3510,35,255409.0,415147.0,0.615225,5774.89,0,,,0
3520,35,37804.0,1688.0,22.395735,210220.47,0,,,0
5911,59,343684.5,5450.0,63.061376,591933.81,343684.5,63.061376,591933.81,0
5912,59,343684.5,5450.0,63.061376,591933.81,343684.5,63.061376,591933.81,0
5913,59,343684.5,5450.0,63.061376,591933.81,343684.5,63.061376,591933.81,0
5920,59,343684.5,5450.0,63.061376,591933.81,343684.5,63.061376,591933.81,0
7420,74,1709491.0,500909.0,3.412778,32034.48,1709491.0,3.412778,32034.48,0
9602,96,11734562.0,88571.0,132.487631,1243612.38,11734562.0,132.487631,1243612.38,0
