isic4,X_usd,X_kg,M_usd,M_kg,n_hs_X,n_hs_M,Px_usd_per_kg,Pm_usd_per_kg
0230,36322108.0,35376345.0,5971909.0,1940664.0,5,5,1.0267,3.0773
0311,594696432.0,280524388.0,7640197.0,1691454.0,54,18,2.1199,4.5169
0312,49233403.0,37072196.0,8.0,12.0,5,1,1.328,0.6667
0321,2699941.0,1371784.0,0.0,0.0,1,0,1.9682,
0510,24288178356.0,347504496733.0,22937715.0,77785694.0,3,3,0.0699,0.2949
0520,1878098860.0,36802743789.0,26036.0,23281.0,1,1,0.051,1.1183
0610,12293413747.0,14973149627.0,10805406294.0,12553749324.0,2,2,0.821,0.8607
0620,20511334736.0,27835126579.0,23429956.0,22387047.0,2,2,0.7369,1.0466
0710,251012778.0,11545751798.0,203118326.0,973399208.0,2,2,0.0217,0.2087
0721,0.0,0.0,27000.0,10000.0,0,1,,2.7
0729,4801443399.0,79356571872.0,150974108.0,71777367.0,11,17,0.0605,2.1034
0810,84998046.0,7959217197.0,213145923.0,3104038771.0,14,26,0.0107,0.0687
0891,2601861.0,20137764.0,290812761.0,1521159780.0,7,11,0.1292,0.1912
0892,0.0,0.0,158634.0,424708.0,0,1,,0.3735
0893,1850991.0,2624436.0,107957552.0,2223005755.0,1,1,0.7053,0.0486
0899,17584518.0,514606338.0,231431001.0,788321749.0,6,19,0.0342,0.2936
1010,19315878.0,4189417.0,227258623.0,119866693.0,22,46,4.6106,1.8959
1020,2290218941.0,751393999.0,310780590.0,250821407.0,89,66,3.048,1.2391
1030,354347903.0,305084721.0,320981136.0,243355120.0,69,87,1.1615,1.319
1040,21742676852.0,26150033530.0,2081067742.0,3776103311.0,44,49,0.8315,0.5511
1050,98394716.0,57588875.0,1293790691.0,548282216.0,24,26,1.7086,2.3597
1061,103883273.0,97069448.0,1141075542.0,2290611442.0,23,23,1.0702,0.4982
1062,32857055.0,64966769.0,542712553.0,1041377325.0,7,9,0.5058,0.5211
1071,258693543.0,94507989.0,41469427.0,15907449.0,6,6,2.7373,2.6069
1072,46238149.0,388903886.0,1682922241.0,2918469511.0,7,8,0.1189,0.5766
1073,797696477.0,264102683.0,152474045.0,37043349.0,12,12,3.0204,4.1161
1074,193606711.0,123003732.0,16269890.0,10369292.0,5,5,1.574,1.569
1075,839293872.0,146122417.0,29933204.0,12072177.0,27,26,5.7438,2.4795
1079,899946193.0,286578460.0,900959149.0,236858473.0,45,51,3.1403,3.8038
1080,21052336.0,24948924.0,484895593.0,580803850.0,2,3,0.8438,0.8349
1101,365761.0,134285.0,10217688.0,784017.0,6,7,2.7238,13.0325
1102,19797657.0,1131246.0,3067355.0,567183.0,5,6,17.5008,5.4081
1103,11742263.0,7883468.0,20137368.0,34135207.0,1,3,1.4895,0.5899
1104,53061159.0,89691954.0,68929942.0,94488421.0,3,3,0.5916,0.7295
1200,732537409.0,89846930.0,504354869.0,87885495.0,8,8,8.1532,5.7388
1311,1773700288.0,562252753.0,317903548.0,90840133.0,96,112,3.1546,3.4996
1312,1573830560.0,232433160.0,2323408539.0,267294857.0,178,204,6.7711,8.6923
1391,108702106.0,18015770.0,1293266326.0,157212948.0,36,42,6.0337,8.2262
1392,263123601.0,65819534.0,76869526.0,28626723.0,51,50,3.9977,2.6852
1393,72877349.0,21961442.0,38231180.0,17685500.0,20,21,3.3184,2.1617
1394,27648456.0,4979254.0,59288936.0,25572821.0,10,10,5.5527,2.3184
1399,279310923.0,46603599.0,1103893800.0,205300110.0,57,58,5.9933,5.377
1410,6292099769.0,383711656.0,434752542.0,53989071.0,214,214,16.398,8.0526
1420,1278612.0,138162.0,1233620.0,68815.0,3,3,9.2544,17.9266
1430,962291222.0,68631575.0,18143250.0,1116855.0,14,15,14.0211,16.2449
1511,134991704.0,8100472.0,401462045.0,37304018.0,25,29,16.6647,10.7619
1512,211534278.0,16086887.0,202526036.0,45124874.0,19,20,13.1495,4.4881
1520,3520102645.0,198893895.0,385067345.0,60214894.0,23,23,17.6984,6.3949
1610,689053674.0,1827184127.0,105461909.0,161497496.0,15,23,0.3771,0.653
1621,2101781811.0,2123788316.0,253196674.0,560106410.0,18,21,0.9896,0.4521
1622,339874450.0,149948651.0,63748098.0,28377739.0,10,10,2.2666,2.2464
1623,13239081.0,7365404.0,2632779.0,2678036.0,3,3,1.7975,0.9831
1629,298798661.0,95101090.0,22272470.0,11207129.0,23,24,3.1419,1.9873
1701,4984757906.0,7098861567.0,1919797638.0,1986881000.0,71,79,0.7022,0.9662
1702,121668321.0,85795529.0,203637738.0,75260052.0,7,7,1.4181,2.7058
1709,433992334.0,239953010.0,429196871.0,97458850.0,33,33,1.8087,4.4039
1811,3808818.0,1013700.0,6917196.0,701643.0,1,1,3.7573,9.8586
1812,1304373.0,96709.0,11255631.0,971547.0,1,1,13.4876,11.5853
1910,4661519.0,57421041.0,41974896.0,107852550.0,2,2,0.0812,0.3892
1920,5551815143.0,7090219870.0,31740267798.0,31689642722.0,15,18,0.783,1.0016
2011,4777710592.0,4987506611.0,9134795664.0,8245441727.0,316,461,0.9579,1.1079
2012,1018350298.0,2205830258.0,2810304546.0,6848239871.0,18,26,0.4617,0.4104
2013,933445312.0,636668657.0,5889807428.0,2960134512.0,67,73,1.4661,1.9897
2021,249577486.0,71302673.0,292961983.0,58063459.0,6,6,3.5003,5.0455
2022,126938396.0,50761097.0,589445682.0,227102671.0,20,20,2.5007,2.5955
2023,1380803933.0,955167091.0,823715897.0,214666114.0,36,36,1.4456,3.8372
2029,488679681.0,195971198.0,2390157070.0,685480243.0,81,99,2.4936,3.4868
2030,987587901.0,448986652.0,1197485205.0,438473677.0,37,41,2.1996,2.731
2100,1107396215.0,397072155.0,1174756792.0,241723930.0,61,87,2.7889,4.8599
2211,1752922380.0,412471502.0,761110061.0,155513504.0,22,22,4.2498,4.8942
